day,date,gpp_avg,nee,hetero_resp,auto_resp,cleaf,croot,cstem,cgrain,lai_alloc,litter_cleaf,litter_croot,soc_total,wliq,psi,et_total,cstate_a,cstate_w,cstate_e,cstate_n,cstate_h
106,2026-04-16,8.22884793016679e-09,4.092170114205906e-09,1.0929054626478279e-08,1.3919634178944187e-09,0.017618829684213272,0.014158236610572963,0.0,0.0,0.41949594486222075,0.00018560722663002354,1.9777761554666975e-05,15.960549784081905,0.5853782938072887,-0.0003624111127153808,0.8901473356493139,1.8135770529241082,0.19187214537304476,0.10645947557505896,4.740608014523805,9.108033095685888
107,2026-04-17,2.8747626294398937e-08,-1.2058243864911817e-08,1.2066559035236827e-08,4.6228233942502934e-09,0.01864098927951461,0.015000771476527511,0.0,0.0,0.4438330780836812,0.0001984279939900734,2.1260515326887756e-05,15.959726921890576,0.5810753682693273,-0.00039019387412718155,2.4154045842927796,1.8141184956325982,0.19176838559055717,0.10642614191665124,4.739401564574146,9.108012334176625
108,2026-04-18,2.89085705706147e-08,-1.1808470334986681e-08,1.2589095610441316e-08,4.511004625186703e-09,0.019664678330873535,0.015844182077514344,0.0,0.0,0.46820662692556037,0.0002175118972399134,2.333814809930758e-05,15.958880074075175,0.5778215804682492,-0.00041228729168450056,1.9854950674897403,1.8146699462889007,0.19166621813305643,0.10639179170446948,4.738160741726631,9.107991376222117
109,2026-04-19,3.285098921526756e-08,-1.5906983787646898e-08,1.2003547756382306e-08,4.940457671238358e-09,0.02086250128352229,0.0168068831552452,0.0,0.0,0.49672622103624503,0.00022660223351725594,2.4343661507255305e-05,15.958093913444047,0.5747804416417666,-0.0004338304931905325,1.6156826255288814,1.8152162510427936,0.19157823159049514,0.10635994622835811,4.73696964101735,9.107969843565051
110,2026-04-20,3.4547167172861175e-08,-1.7882134377856806e-08,1.1367063024723153e-08,5.2979697702812154e-09,0.02211449195965265,0.017819573877535647,0.0,0.0,0.5265355228488726,0.00023699297300990317,2.545628415219532e-05,15.957374248455874,0.5708171038892402,-0.00046327596390104045,2.193648158106117,1.815756415592218,0.19150515531855136,0.10633084629350409,4.73583409727137,9.10794773398023
111,2026-04-21,3.721663134027216e-08,-1.9777004824885706e-08,1.1594892903005797e-08,5.844733612380657e-09,0.02344922067780977,0.01891000039087564,0.0,0.0,0.5583147780430898,0.0002576908663571854,2.7685865835524903e-05,15.956657826441248,0.5664809697709242,-0.0004973786618552517,2.4390209981607205,1.8163040626145261,0.19143809030721803,0.10630186061341781,4.7346885146135165,9.10792529829257
112,2026-04-22,2.496207796582662e-08,-9.05694471524698e-09,1.1968585485683704e-08,3.936547764895934e-09,0.024244973585508825,0.01961827934134358,0.0,0.0,0.5772612758454483,0.00028222792404873675,3.0346027144677626e-05,15.955936314606479,0.5635967259563812,-0.0005212230340212474,1.5867371841101336,1.816859577376099,0.1913763819417657,0.10627264030209511,4.733525158411424,9.107902556575095
113,2026-04-23,3.392259197693658e-08,-1.712726596001957e-08,1.1631222082251344e-08,5.1641039346656654e-09,0.02542476933376673,0.020599942894918708,0.0,0.0,0.6053516508039698,0.00029179277831293567,3.14812867062415e-05,15.95525465108359,0.5606019691394808,-0.0005470181362421189,1.6662696775192316,1.8174115630358922,0.19132453532708205,0.10624506624341089,4.732394099529191,9.107879386948014
114,2026-04-24,3.636081426180668e-08,-1.957862730999755e-08,1.112320398534023e-08,5.658982966468895e-09,0.026687152264657565,0.0216540715240511,0.0,0.0,0.6354083872537517,0.0003033549729608733,3.277169093308366e-05,15.954629732923152,0.557305724441869,-0.000576694533068397,1.8622993027497203,1.8179602938259312,0.19128529949025028,0.10621983325622508,4.731308489364529,9.107855816986216
115,2026-04-25,2.0509419644485244e-08,-5.893066760059685e-09,1.1333144243087971e-08,3.283208641337587e-09,0.02726000377056899,0.022217501374839153,0.0,0.0,0.6490477088230712,0.00031769294845500297,3.43703255174803e-05,15.95400261253452,0.5594701119689006,-0.000557053159503741,1.0157255869958635,1.8185202714752573,0.19124961799115794,0.10619447854401398,4.730205704192124,9.107832540331968
116,2026-04-26,2.8806051619978304e-08,-1.3730295194981547e-08,1.0650171866640194e-08,4.4255845583565625e-09,0.028199790548102538,0.023036738374507374,0.0,0.0,0.6714235844786319,0.0003133923570163097,3.4056219906035676e-05,15.953429886262166,0.5568198483248277,-0.0005811870475362146,1.8258478333534,1.819072246375712,0.19122285126075803,0.10617137758776796,4.729154194027562,9.107809217010365
117,2026-04-27,3.45978115756037e-08,-1.9371955063454532e-08,1.0008358252323122e-08,5.217498259826047e-09,0.029391395222871243,0.024033464857401855,0.0,0.0,0.6997951243540772,0.00031573731284418964,3.439059997581433e-05,15.952915292021984,0.5552484318537095,-0.000595930719582629,1.8681514692566492,1.8196151376106664,0.19120653169872512,0.10615068188851769,4.72815723463203,9.107785706192045
118,2026-04-28,2.913510344129855e-08,-1.5238349541346492e-08,9.483647146537508e-09,4.413106753414549e-09,0.03034292404392747,0.024860751377150398,0.0,0.0,0.7224505724744635,0.00032205266745004404,3.5112505578368096e-05,15.952453070081551,0.5528182196603221,-0.0006193919647753647,1.4135431033852737,1.82015089751946,0.1912002475235073,0.10613214748056231,4.727207729790716,9.107762047767306
119,2026-04-29,4.4420019312492066e-08,-2.88407023660777e-08,8.924736726655898e-09,6.6545802197584655e-09,0.031947052123329406,0.02615701591333832,0.0,0.0,0.7606440981745097,0.00032683655665752633,3.5704765364794954e-05,15.952044514150389,0.5494257379411583,-0.0006535397945555725,1.9452995295987858,1.8206758707653696,0.1912037106863877,0.10611583394755203,4.726310943976595,9.107738154774484
120,2026-04-30,2.7304038057591378e-08,-1.4018942061262585e-08,9.000518036488738e-09,4.284577959840055e-09,0.03278246395892142,0.026921821330609722,0.0,0.0,0.7805348561647957,0.00035041042483254696,3.8253674749753854e-05,15.951655533491618,0.5472603389360537,-0.0006762258388371834,1.330613812590733,1.8212114724517912,0.19121513754491157,0.10610030906473257,4.725414556938199,9.107714057491984
121,2026-05-01,5.179061056984082e-08,-3.348286382335798e-08,1.0034163291071303e-08,8.273583455411539e-09,0.034603264920462,0.028431758059748728,0.0,0.0,0.8238872600110001,0.0003867820411298852,4.235141087721097e-05,15.951217715235277,0.54291349324921,-0.0007239780678872975,2.5336884045925916,1.821773604101177,0.19122671258773347,0.10608273942590205,4.724444984063519,9.107689675056946
122,2026-05-02,5.323483919346692e-08,-3.382215445865719e-08,1.0903867199932613e-08,8.50881753487712e-09,0.036441665667127275,0.029975878561201257,0.0,0.0,0.8676587063601733,0.0004342351404616368,4.757188272272209e-05,15.950757428132388,0.538903164165502,-0.000770812488928462,2.3418882174807605,1.8223539070304091,0.19124459831106824,0.10606420029551188,4.723429739608668,9.10766498288673
123,2026-05-03,2.844040506990099e-08,-1.204547936529079e-08,1.1639420917722607e-08,4.755504786887592e-09,0.037183759236093746,0.030747388734654685,0.0,0.0,0.8853276008593749,0.00048011450260322815,5.2657139429234117e-05,15.950284553807128,0.5365422239720948,-0.0007997095656703605,1.6528862503114907,1.8229446211627485,0.19126999146280457,0.1060451018829272,4.722384806518265,9.107640032780383
124,2026-05-04,2.4516370937542598e-08,-7.50954151859326e-09,1.2980405190913965e-08,4.026424228035374e-09,0.03775157276184904,0.03139301436403408,0.0,0.0,0.8988469705202152,0.0005015900202598157,5.5302220306910735e-05,15.9497199390392,0.5416305880556846,-0.0007386610105941657,0.9358461039485082,1.8235524208341194,0.1912864256297773,0.10602217914999729,4.721243120598547,9.10761579282676
125,2026-05-05,4.787740181419228e-08,-2.7244257705574827e-08,1.3171730868535748e-08,7.461413240081706e-09,0.039320699935629276,0.03275607756405548,0.0,0.0,0.9362071413245066,0.0005038826543695337,5.586838463198593e-05,15.949141652531159,0.5387302019850935,-0.0007728953576875427,2.141605876233013,1.8241704351779877,0.19130202305827929,0.10599868506867874,4.7200785039462945,9.107592005279919
126,2026-05-06,4.909882794268497e-08,-2.9048289026521676e-08,1.2397995262673413e-08,7.652543653489883e-09,0.04093166298049178,0.03415414719028459,0.0,0.0,0.9745634042974233,0.0005147512133981899,5.717507809666253e-05,15.94864239203196,0.5352198272820116,-0.0008163433717330696,2.10538662658952,1.8247930171201803,0.19133211816861648,0.10597845939904928,4.718970955174887,9.107567842169226
127,2026-05-07,5.577927055912168e-08,-3.50673003106113e-08,1.1940147902188095e-08,8.771822346322283e-09,0.04280125924781401,0.035753490165467874,0.0,0.0,1.0190776011384288,0.0005331844072989944,5.931987578136008e-05,15.948203267536291,0.530618502692187,-0.0008768509681887731,2.713000057341335,1.8254189455089718,0.19137512434896153,0.1059607132664306,4.717905133556842,9.107543350855085
128,2026-05-08,5.64613497373044e-08,-3.5720725358805235e-08,1.1773153905196433e-08,8.967470473302737e-09,0.044665881003061056,0.03736730365581586,0.0,0.0,1.0634733572157393,0.0005623970846483243,6.263883816639071e-05,15.947811102961696,0.5262092571579013,-0.0009389012792908743,2.6039145611818992,1.8260505596199101,0.1914309942137491,0.10594489037878438,4.716866095910886,9.107518562838367
129,2026-05-09,4.104723632769772e-08,-2.2444797693770477e-08,1.18527544043772e-08,6.749684229550042e-09,0.04583172003411856,0.03849877541101305,0.0,0.0,1.0912314293837753,0.0005991633489918856,6.683436603338161e-05,15.947453022696182,0.5227126594998517,-0.0009911508701291988,2.0623621861228285,1.8266882685492833,0.19149914778915786,0.10593045325917975,4.715841672186574,9.107493480911987
130,2026-05-10,4.3724847768449866e-08,-2.4822180497273208e-08,1.1761370339958054e-08,7.141296931218605e-09,0.047092023525016735,0.03970691590897013,0.0,0.0,1.1212386553575413,0.0006226389990536201,6.973580442790467e-05,15.947129215102292,0.5194334835027522,-0.001042761491605005,1.93689003684941,1.8273270881128483,0.19157688681650387,0.1059174265803902,4.714839673927449,9.1074681396651
131,2026-05-11,3.8887873963611534e-08,-2.0366446705222478e-08,1.199687010802804e-08,6.524557150361016e-09,0.048104942419113464,0.040757904275695436,0.0,0.0,1.145355771883654,0.0006582773890419578,7.400592280086112e-05,15.946824968836802,0.5162777187305566,-0.0010949580282507382,1.8785936897417663,1.827966560138441,0.19166430623322916,0.10590519409652971,4.713846405050927,9.107442503317674
132,2026-05-12,2.182117588874469e-08,-4.5941442769898265e-09,1.3235587984787055e-08,3.991443626967809e-09,0.04835226499441766,0.04127449883195397,0.0,0.0,1.1512444046289918,0.000697747597471234,7.882413838355622e-05,15.94645798577077,0.5177682383424722,-0.0010699866664538732,1.4511286180342238,1.828611937893773,0.1917499657818451,0.10589035699502095,4.712788707535901,9.10741701756423
